prison_id,total_change_wbgt_28,NAME,STATE,STATEFP,COUNTY,CITY,TYPE,POPULATION,CAPACITY,VAL_DATE
73,0,CANYONLANDS YOUTH HOME,UT,49,SAN JUAN,BLANDING,STATE,3,16,2020/02/20
74,0,SLATE CANYON YOUTH CENTER,UT,49,UTAH,PROVO,STATE,43,70,2020/02/20
75,0,CENTRAL UTAH YOUTH CENTER,UT,49,SEVIER,RICHFIELD,STATE,4,16,2020/02/20
77,-0.2,WARREN COUNTY JAIL,OH,39,WARREN,LEBANON,COUNTY,295,280,2020/02/20
78,0,DAVIDSON COUNTY DETENTION FACILITY,NC,37,DAVIDSON,LEXINGTON,COUNTY,280,283,2020/02/13
80,-1.3,HENRY COUNTY JAIL / SHERIFF,MO,29,HENRY,CLINTON,COUNTY,90,112,2020/01/31
84,-2.5,WASHINGTON COUNTY JAIL,OH,39,WASHINGTON,MARIETTA,COUNTY,126,124,2020/02/20
86,0,SUMMIT COUNTY CORRECTIONS / JUSTICE CENTER,UT,49,SUMMIT,PARK CITY,COUNTY,59,-999,2020/02/20
91,-3.5,JACKSON COUNTY REGIONAL CORRECTIONAL CENTER,MO,29,JACKSON,KANSAS CITY,COUNTY,139,-999,2020/01/31
92,-2.9,DURHAM COUNTY DETENTION FACILITY,NC,37,DURHAM,DURHAM,COUNTY,494,736,2020/02/13
93,0,"UTAH STATE PRISON, DRAPER - NORTH COMPLEX",UT,49,SALT LAKE,DRAPER,STATE,994,2000,2020/02/20
94,0.1,"UTAH STATE PRISON, DRAPER - SOUTH COMPLEX",UT,49,SALT LAKE,DRAPER,STATE,1839,2450,2020/02/20
95,0.1,WAYNE COUNTY JAIL,OH,39,WAYNE,WOOSTER,COUNTY,270,-999,2020/02/20
96,-1.2,WOOD COUNTY JUSTICE CENTER,OH,39,WOOD,BOWLING GREEN,COUNTY,158,224,2020/02/20
97,0,CENTRAL UTAH CORRECTIONAL FACILITY,UT,49,SANPETE,GUNNISON,STATE,1700,1600,2020/02/20
98,-0.1,MILL CREEK YOUTH CENTER,UT,49,WEBER,OGDEN,STATE,32,58,2020/02/20
100,-0,WASATCH YOUTH CENTER,UT,49,SALT LAKE,SALT LAKE CITY,STATE,22,46,2020/02/20
103,0,CACHE VALLEY YOUTH CENTER,UT,49,CACHE,LOGAN,STATE,7,16,2020/02/20
104,-0,SALT LAKE VALLEY DETENTION CENTER / GENESIS YOUTH CENTER,UT,49,SALT LAKE,SALT LAKE CITY,STATE,79,112,2020/02/20
105,-0.1,WEBER VALLEY YOUTH DETENTION CENTER,UT,49,WEBER,ROY,STATE,17,24,2020/02/20
106,12.6,ZAPATA REGIONAL JAIL,TX,48,ZAPATA,ZAPATA,COUNTY,240,-999,2020/03/04
107,0.2,LAWRENCE COUNTY JAIL,MO,29,LAWRENCE,MOUNT VERNON,COUNTY,63,52,2020/01/31
108,2.1,MCDONALD COUNTY JAIL,MO,29,MCDONALD,PINEVILLE,COUNTY,43,32,2020/01/31
110,-0.6,COSHOCTON COUNTY JAIL,OH,39,COSHOCTON,COSHOCTON,COUNTY,58,57,2020/02/20
112,-4.9,MARION COUNTY JAIL,MO,29,MARION,PALMYRA,COUNTY,102,-999,2020/01/31
115,0.2,CIMARRON COUNTY JAIL / COURTHOUSE,OK,40,CIMARRON,BOISE CITY,COUNTY,3,-999,2020/01/21
121,-2.8,PETTIS COUNTY JAIL,MO,29,PETTIS,SEDALIA,COUNTY,143,208,2020/01/31
123,8.1,RUNNELS COUNTY JAIL,TX,48,RUNNELS,BALLINGER,COUNTY,36,87,2020/03/04
129,0.8,LATIMER COUNTY JAIL,OK,40,LATIMER,WILBURTON,COUNTY,28,-999,2020/01/21
130,-6.3,RANDOLPH COUNTY JAIL,MO,29,RANDOLPH,HUNTSVILLE,COUNTY,49,-999,2020/01/31
134,-1,NORTH CENTRAL CORRECTIONAL FACILITY,IA,19,CALHOUN,ROCKWELL CITY,STATE,485,245,2019/12/11
135,-2.4,ANAMOSA STATE PENITENTIARY,IA,19,JONES,ANAMOSA,STATE,927,911,2019/12/11
136,-1.7,IOWA MEDICAL & CLASSIFICATION CENTER,IA,19,JOHNSON,CORALVILLE,STATE,894,585,2019/12/11
138,-1.6,SALINE COUNTY JAIL,MO,29,SALINE,MARSHALL,COUNTY,53,64,2020/01/31
139,0.5,NEWTON CORRECTIONAL FACILITY,IA,19,JASPER,NEWTON,STATE,1292,1014,2019/12/11
141,1.5,MAYES COUNTY JAIL,OK,40,MAYES,PRYOR,COUNTY,115,-999,2020/01/21
142,-0.4,KENNEBEC COUNTY JAIL,ME,23,KENNEBEC,AUGUSTA,COUNTY,151,150,2019/12/16
149,9,SCURRY COUNTY JAIL,TX,48,SCURRY,SNYDER,COUNTY,100,161,2020/03/04
150,10.2,OKLAHOMA COUNTY DETENTION CENTER,OK,40,OKLAHOMA,OKLAHOMA CITY,COUNTY,2700,2890,2020/01/21
151,7.3,SHELBY COUNTY JAIL,TX,48,SHELBY,CENTER,COUNTY,46,66,2020/03/04
155,1.3,SHERMAN COUNTY JAIL,TX,48,SHERMAN,STRATFORD,COUNTY,6,13,2020/03/04
157,14.3,OKMULGEE COUNTY JAIL,OK,40,OKMULGEE,OKMULGEE,COUNTY,278,-999,2020/01/21
161,-2.6,EVANGELINE PARISH JAIL,LA,22,EVANGELINE,VILLE PLATTE,COUNTY,133,72,2019/12/16
164,-3,SMITH COUNTY JAIL - LOW RISK DIVISION,TX,48,SMITH,TYLER,COUNTY,400,432,2020/03/04
166,-3.4,STEPHENS COUNTY LAW ENFORCEMENT CENTER,TX,48,STEPHENS,BRECKENRIDGE,COUNTY,25,54,2020/03/04
171,4.7,TARRANT COUNTY JAIL - GREENBAY,TX,48,TARRANT,FORT WORTH,COUNTY,726,1100,2020/03/04
173,0.1,CLACKAMAS COUNTY JAIL,OR,41,CLACKAMAS,OREGON CITY,COUNTY,423,434,2020/01/24
174,5,TERRELL COUNTY JAIL,TX,48,TERRELL,SANDERSON,COUNTY,2,8,2020/03/04
175,0.2,COLUMBIA COUNTY JAIL,OR,41,COLUMBIA,ST. HELENS,COUNTY,140,255,2020/01/24
176,0,CURRY COUNTY JAIL,OR,41,CURRY,GOLD BEACH,COUNTY,34,50,2020/01/24
177,7.1,TRAVIS COUNTY CORRECTIONAL COMPLEX,TX,48,TRAVIS,DEL VALLE,COUNTY,2340,2806,2020/03/04
178,-2.5,HENRICO COUNTY JUVENILE DETENTION HOME,VA,51,HENRICO,HENRICO,COUNTY,12,20,2020/02/24
181,-9.3,WASHINGTON COUNTY JAIL,TX,48,WASHINGTON,BRENHAM,COUNTY,78,176,2020/03/04
184,30.7,WEBB COUNTY YOUTH VILLAGE,TX,48,WEBB,LAREDO,COUNTY,25,72,2020/03/04
187,9,MITCHELL COUNTY JAIL,TX,48,MITCHELL,COLORADO CITY,COUNTY,67,99,2020/02/27
188,0.4,PARMER COUNTY JAIL,TX,48,PARMER,FARWELL,COUNTY,10,49,2020/02/27
189,1.4,RANDALL COUNTY JAIL,TX,48,RANDALL,AMARILLO,COUNTY,441,454,2020/02/27
190,-2.9,WATERLOO POLICE DEPARTMENT,IA,19,BLACK HAWK,WATERLOO,LOCAL,57,-999,2019/12/11
192,-0.2,FCI CUMBERLAND,MD,24,ALLEGANY,CUMBERLAND,FEDERAL,1011,768,2019/12/16
193,-3.9,JAMES RIVER WORK CENTER,VA,51,GOOCHLAND,STATE FARM,STATE,279,328,2020/02/24
199,0,BUTTE PRE-RELEASE / WOMEN'S TRANSITIONAL CENTER,MT,30,SILVER BOW,BUTTE,STATE,204,220,2020/01/31
205,0.2,LANE COUNTY JAIL,OR,41,LANE,EUGENE,COUNTY,429,507,2020/01/24
206,0.5,YOUTH REHABILITATION AND TREATMENT CENTER- KEARNEY,NE,31,BUFFALO,KEARNEY,STATE,98,172,2020/01/31
208,0,CARBON COUNTY JAIL,UT,49,CARBON,PRICE,COUNTY,72,87,2020/02/20
210,-1.8,SOUTH TEXAS FAMILY RESIDENTIAL CENTER,TX,48,FRIO,DILLEY,FEDERAL,227,2400,2020/03/04
211,0.7,GOODMAN CORRECTIONAL INSTITUTION,SC,45,RICHLAND,COLUMBIA,STATE,436,552,2020/02/07
214,36.7,BROWNSVILLE CITY JAIL,TX,48,CAMERON,BROWNSVILLE,LOCAL,23,-999,2020/02/11
218,-0.1,DAVIS COUNTY JAIL / SHERIFF,UT,49,DAVIS,FARMINGTON,COUNTY,785,776,2020/02/20
220,0.1,YAMHILL COUNTY JAIL / SHERIFF,OR,41,YAMHILL,MCMINNVILLE,COUNTY,188,259,2020/01/24
221,-0.1,LINN COUNTY JAIL,OR,41,LINN,ALBANY,COUNTY,204,230,2020/01/24
223,0.3,MULTNOMAH COUNTY INVERNESS JAIL,OR,41,MULTNOMAH,PORTLAND,COUNTY,756,1037,2020/01/24
225,0.2,ROSEAU SATELLITE HOME/NMJC,MN,27,ROSEAU,ROSEAU,STATE,6,6,2020/04/30
227,-0.9,SECOND CHANCES,MN,27,MARTIN,GRANADA,STATE,6,6,2020/04/30
228,-1.7,NOTTOWAY WORK CENTER,VA,51,NOTTOWAY,BURKEVILLE,STATE,195,200,2020/02/24
229,-1.4,ADAMS COUNTY ADULT CORRECTIONAL COMPLEX,PA,42,ADAMS,GETTYSBURG,COUNTY,287,449,2020/01/28
230,2.5,BURNET COUNTY JAIL / SHERIFF,TX,48,BURNET,BURNET,COUNTY,266,595,2020/02/11
231,-1.2,GRAND COUNTY JAIL,UT,49,GRAND,MOAB,COUNTY,21,-999,2020/02/20
233,0,IRON COUNTY JAIL,UT,49,IRON,CEDAR CITY,COUNTY,26,-999,2020/02/20
234,-0.8,CHEROKEE COUNTY JAIL,NC,37,CHEROKEE,MURPHY,COUNTY,125,150,2020/02/13
237,-0.1,ARMSTRONG COUNTY JAIL,PA,42,ARMSTRONG,KITTANNING,COUNTY,127,158,2020/01/28
239,-0.2,BEAVER COUNTY JAIL,PA,42,BEAVER,ALIQUIPPA,COUNTY,313,402,2020/01/28
240,13.8,HOLMES CORRECTIONAL INSTITUTION,FL,12,HOLMES,BONIFAY,STATE,1197,1185,2019/12/12
241,-0,SALT LAKE COUNTY METRO JAIL,UT,49,SALT LAKE,SALT LAKE CITY,COUNTY,2353,1696,2020/02/20
244,0,BEDFORD COUNTY CORRECTIONAL FACILITY,PA,42,BEDFORD,BEDFORD,COUNTY,160,181,2020/01/28
245,0.6,BERKS COUNTY JAIL SYSTEM,PA,42,BERKS,LEESPORT,COUNTY,1017,1546,2020/01/28
248,8.1,COFFIELD UNIT,TX,48,ANDERSON,TENNESSEE COLONY,STATE,4100,4139,2020/02/13
249,-2.6,LOPEZ STATE JAIL,TX,48,HIDALGO,EDINBURG,STATE,1002,1100,2020/02/25
250,7.5,MICHAEL STATE PRISON,TX,48,ANDERSON,TENNESSEE COLONY,STATE,2902,3305,2020/02/25
251,4.2,POLUNSKY PRISON,TX,48,POLK,LIVINGSTON,STATE,2956,2984,2020/02/27
252,8.2,CORYELL COUNTY JAIL,TX,48,CORYELL,GATESVILLE,COUNTY,78,92,2020/02/13
253,-0.2,DEER RIDGE CORRECTIONAL INSTITUTION,OR,41,JEFFERSON,MADRAS,STATE,940,1867,2020/01/24
257,-6.2,ODOM CORRECTIONAL INSTITUTION,NC,37,NORTHAMPTON,JACKSON,STATE,462,352,2020/02/13
261,0.2,BLAIR COUNTY PRISON,PA,42,BLAIR,HOLLIDAYSBURG,COUNTY,287,350,2020/01/28
262,0.6,CENTRE COUNTY CORRECTIONAL FACILITY,PA,42,CENTRE,BELLEFONTE,COUNTY,280,397,2020/01/29
263,-1.4,CHESTER COUNTY PRISON,PA,42,CHESTER,WEST CHESTER,COUNTY,812,1137,2020/01/29
264,-1.4,CHESTER COUNTY YOUTH CENTER,PA,42,CHESTER,WEST CHESTER,COUNTY,14,60,2020/01/29
265,0,BEAVERHEAD COUNTY DETENTION CENTER,MT,30,BEAVERHEAD,DILLON,COUNTY,14,-999,2020/01/31
266,-2.9,BIG HORN COUNTY SHERIFF'S OFFICE / DETENTION CENTER,MT,30,BIG HORN,HARDIN,COUNTY,43,-999,2020/01/31
267,0,GALLATIN COUNTY DETENTION CENTER,MT,30,GALLATIN,BOZEMAN,COUNTY,151,160,2020/01/31
269,-0.2,CLARION COUNTY PRISON,PA,42,CLARION,SHIPPENVILLE,COUNTY,98,126,2020/01/29
270,-0.1,CLEARFIELD COUNTY JAIL,PA,42,CLEARFIELD,CLEARFIELD,COUNTY,152,139,2020/01/29
271,-0.1,CUMBERLAND COUNTY PRISON,PA,42,CUMBERLAND,CARLISLE,COUNTY,419,720,2020/01/29
272,5.9,MANSFIELD JAIL,TX,48,TARRANT,MANSFIELD,LOCAL,22,-999,2020/02/25
273,-0,ERIE COUNTY PRISON,PA,42,ERIE,ERIE,COUNTY,624,902,2020/01/29
274,-0.3,WARREN CORRECTIONAL INSTITUTION,NC,37,WARREN,MANSON,STATE,667,809,2020/02/13
276,-0.1,EDMUND L. THOMAS ADOLESCENT CENTER,PA,42,ERIE,ERIE,COUNTY,10,28,2020/01/29
278,-1.3,FRANKLIN COUNTY JAIL,PA,42,FRANKLIN,CHAMBERSBURG,COUNTY,423,468,2020/01/29
282,21.8,REFUGIO COUNTY JAIL,TX,48,REFUGIO,REFUGIO,COUNTY,40,60,2020/02/27
285,0,TONOPAH CONSERVATION CAMP,NV,32,NYE,TONOPAH,STATE,147,152,2020/02/03
289,16.1,CANADIAN COUNTY JAIL,OK,40,CANADIAN,EL RENO,COUNTY,137,72,2020/01/21
291,6.9,ROBERTSON COUNTY JAIL,TX,48,ROBERTSON,FRANKLIN,COUNTY,39,53,2020/02/27
292,11.4,CHOCTAW COUNTY JAIL,OK,40,CHOCTAW,HUGO,COUNTY,31,-999,2020/01/21
293,9,ROCKWALL COUNTY JAIL,TX,48,ROCKWALL,ROCKWALL,COUNTY,187,243,2020/02/27
298,10.7,RUSK COUNTY JAIL,TX,48,RUSK,HENDERSON,COUNTY,117,292,2020/03/04
299,9.7,SABINE COUNTY JAIL,TX,48,SABINE,HEMPHILL,COUNTY,12,17,2020/03/04
302,21.3,SAN PATRICIO COUNTY JAIL,TX,48,SAN PATRICIO,SINTON,COUNTY,191,236,2020/03/04
311,14.6,TYLER COUNTY JAIL,TX,48,TYLER,WOODVILLE,COUNTY,4,43,2020/03/04
312,-1.2,PORTSMOUTH CITY JAIL,VA,51,PORTSMOUTH,PORTSMOUTH,LOCAL,510,-999,2020/02/24
313,14.5,TRAVIS COUNTY JAIL / CENTRAL BOOKING FACILITY,TX,48,TRAVIS,AUSTIN,COUNTY,348,361,2020/03/04
314,-13.9,WARD COUNTY JAIL,TX,48,WARD,MONAHANS,COUNTY,47,68,2020/03/04
315,0.7,DOUGLAS COUNTY JAIL,OR,41,DOUGLAS,ROSEBURG,COUNTY,224,284,2020/01/24
316,68.4,WEBB COUNTY JAIL,TX,48,WEBB,LAREDO,COUNTY,485,570,2020/03/04
317,0,GRANT COUNTY JAIL,OR,41,GRANT,CANYON CITY,COUNTY,20,48,2020/01/24
318,-1.8,NORTHERN OREGON REG.CORRECTIONAL FACILITY,OR,41,WASCO,THE DALLES,COUNTY,131,154,2020/01/24
321,-1.2,JACKSON COUNTY JAIL,OR,41,JACKSON,MEDFORD,COUNTY,321,292,2020/01/24
322,-4.6,WHARTON COUNTY JAIL,TX,48,WHARTON,WHARTON,COUNTY,125,144,2020/03/04
324,-1,JEFFERSON COUNTY DETENTION FACILITY,OR,41,JEFFERSON,MADRAS,COUNTY,90,160,2020/01/24
325,8.2,WHEELER COUNTY JAIL,TX,48,WHEELER,WHEELER,COUNTY,33,48,2020/03/04
326,1.7,JOSEPHINE COUNTY ADULT JAIL,OR,41,JOSEPHINE,GRANTS PASS,COUNTY,133,262,2020/01/24
328,8,WILBARGER COUNTY JAIL,TX,48,WILBARGER,VERNON,COUNTY,8,49,2020/03/04
330,9.2,WILLIAMSON COUNTY JUVENILE JUSTICE CENTER,TX,48,WILLIAMSON,GEROGETOWN,COUNTY,42,96,2020/03/04
332,-12.8,ZAVALA COUNTY JAIL,TX,48,ZAVALA,CRYSTAL CITY,COUNTY,39,66,2020/03/04
333,3.8,IRVING CITY JAIL,TX,48,DALLAS,IRVING,LOCAL,29,172,2020/02/20
334,8.4,WILSON COUNTY JAIL,TX,48,WILSON,FLORESVILLE,COUNTY,128,160,2020/03/04
335,-0,JOHNSON CITY DETENTION FACILITY,TN,47,WASHINGTON,JOHNSON CITY,LOCAL,80,88,2019/12/06
337,0,KLAMATH COUNTY JAIL,OR,41,KLAMATH,KLAMATH FALLS,COUNTY,124,192,2020/01/24
338,0.2,LANE COUNTY COMMUNITY CORRECTIONS CENTER,OR,41,LANE,EUGENE,COUNTY,39,32,2020/01/24
339,-2.1,WOMEN'S RESIDENTIAL CORRECTIONAL FACILITY,IA,19,POLK,DES MOINES,STATE,49,48,2019/12/11
341,0.1,STEIN FORENSIC UNIT,NV,32,CLARK,LAS VEGAS,STATE,12,47,2020/02/03
342,-8.8,MCLENNAN RESIDENTIAL TREATMENT CENTER,TX,48,MCLENNAN,MART,STATE,65,185,2020/02/25
347,-0,ALLEGHENY COUNTY JAIL,PA,42,ALLEGHENY,PITTSBURGH,COUNTY,2490,3164,2020/01/28
351,-3.6,MESQUITE CITY JAIL,TX,48,DALLAS,MESQUITE,LOCAL,18,-999,2020/02/25
353,-0.3,BUTLER COUNTY PRISON,PA,42,BUTLER,BUTLER,COUNTY,313,564,2020/01/28
355,4.9,ROBESON CRV CENTER,NC,37,ROBESON,LUMBERTON,STATE,145,192,2020/02/13
356,-0.9,BUCKS COUNTY CORRECTIONAL FACILITY,PA,42,BUCKS,DOYLESTOWN,COUNTY,727,764,2020/01/28
358,0,CAMBRIA COUNTY PRISON,PA,42,CAMBRIA,EBENSBURG,COUNTY,475,495,2020/01/28
359,0.1,CARBON COUNTY CORRECTIONAL FACILITY,PA,42,CARBON,NESQUEHONING,COUNTY,216,223,2020/01/28
360,-0.7,GEORGE W HILL CORRECTIONAL FACILITY,PA,42,DELAWARE,THORNTON,COUNTY,1733,1863,2020/01/29
361,-0.5,GREENE COUNTY PRISON,PA,42,GREENE,WAYNESBURG,COUNTY,59,196,2020/01/29
362,0.5,INDIANA COUNTY JAIL,PA,42,INDIANA,INDIANA,COUNTY,142,256,2020/01/29
363,-0,NEVADA SOUTHERN DETENTION CENTER,NV,32,NYE,PAHRUMP,FEDERAL,1175,1072,2020/02/03
364,-0.1,JEFFERSON COUNTY JAIL,PA,42,JEFFERSON,BROOKVILLE,COUNTY,155,158,2020/01/29
365,-1.4,LEBANON COUNTY CORRECTIONAL FACILITY,PA,42,LEBANON,LEBANON,COUNTY,535,645,2020/01/29
367,0.7,LACKAWANNA COUNTY PRISON,PA,42,LACKAWANNA,SCRANTON,COUNTY,842,1183,2020/01/29
368,0.5,MONROE COUNTY CORRECTIONAL FACILITY,PA,42,MONROE,STROUDSBURG,COUNTY,347,409,2020/01/29
369,-0.7,MONTGOMERY COUNTY CORRECTIONAL FACILITY,PA,42,MONTGOMERY,EAGLEVILLE,COUNTY,2059,2080,2020/01/29
370,0.9,PERRY COUNTY PRISON,PA,42,PERRY,NEW BLOOMFIELD,COUNTY,117,135,2020/01/30
372,0,ELY CONSERVATION CAMP,NV,32,WHITE PINE,ELY,STATE,125,150,2020/02/03
373,27.4,MOBILE COUNTY METRO JAIL,AL,01,MOBILE,MOBILE,COUNTY,1500,1500,2019/11/05
374,1.3,CASA GRANDE TRANSITIONAL HOUSING,NV,32,CLARK,LAS VEGAS,STATE,331,400,2020/02/03
377,-2.8,ALTERNATIVE & SPECIAL DETENTION CENTER(ASD),PA,42,PHILADELPHIA,PHILADELPHIA,LOCAL,374,860,2020/01/28
378,-0.9,BENTON COUNTY JAIL,WA,53,BENTON,KENNEWICK,COUNTY,633,800,2020/02/26
380,0,WELLS CONSERVATION CAMP,NV,32,ELKO,WELLS,STATE,142,150,2020/02/03
381,-2.8,PHILADELPHIA DETENTION CENTER,PA,42,PHILADELPHIA,PHILADELPHIA,LOCAL,1202,1677,2020/01/30
385,-0.7,CITY OF LAS VEGAS DETENTION CENTER,NV,32,CLARK,LAS VEGAS,LOCAL,1415,-999,2020/02/03
387,0.7,SCHUYLKILL COUNTY PRISON,PA,42,SCHUYLKILL,POTTSVILLE,COUNTY,271,277,2020/01/30
389,34.5,EVERGLADES RE-ENTRY CENTER,FL,12,MIAMI-DADE,MIAMI,STATE,386,-999,2019/12/12
394,-0,WESTMORELAND COUNTY PRISON,PA,42,WESTMORELAND,GREENSBURG,COUNTY,626,704,2020/01/31
398,6.3,PIMA REENTRY CENTER,AZ,04,PIMA,TUCSON,STATE,72,-999,2019/11/13
399,-0.3,SUMMIT ACADEMY,PA,42,BUTLER,BUTLER,NOT AVAILABLE,190,353,2020/01/31
401,0.1,GRANT COUNTY WORK RELEASE CENTER,WA,53,GRANT,EPHRATA,COUNTY,35,100,2020/02/26
406,0.1,GEIGER CORRECTIONS CENTER,WA,53,SPOKANE,SPOKANE,COUNTY,309,-999,2020/02/26
407,25,MAYO CORRECTIONAL INSTITUTION ANNEX,FL,12,LAFAYETTE,MAYO,STATE,1104,1345,2019/12/12
409,8.7,FORT MYERS WORK CAMP,FL,12,LEE,FORT MYERS,STATE,115,-999,2019/12/12
410,-2.4,HENRY COUNTY JAIL,IA,19,HENRY,MOUNT PLEASANT,COUNTY,8,8,2019/12/11
411,0,CARROLL COUNTY JAIL,NH,33,CARROLL,OSSIPEE,COUNTY,61,220,2020/02/03
414,-0.2,GRAFTON COUNTY DEPARTMENT OF CORRECTIONS,NH,33,GRAFTON,NORTH HAVERHILL,COUNTY,103,150,2020/02/03
415,-1.1,BALTIMORE COUNTY DEPARTMENT OF CORRECTIONS,MD,24,BALTIMORE,TOWSON,COUNTY,1178,1513,2019/12/16
416,0.6,STRAFFORD COUNTY CORRECTIONAL CENTER,NH,33,STRAFFORD,DOVER,COUNTY,407,495,2020/02/03
417,-1.6,STORY COUNTY JAIL,IA,19,STORY,NEVADA,COUNTY,67,104,2019/12/11
422,0,HARNEY COUNTY JAIL,OR,41,HARNEY,BURNS,COUNTY,12,23,2020/01/24
423,0,WATERTOWN CORRECTIONAL FACILITY,NY,36,JEFFERSON,WATERTOWN,STATE,526,670,2020/02/13
